Товар,Категория,Остаток,Цена,Тип дня,Спрос
Печенье овсяное,Кондитерские изделия,4,123.3,будни,9
Чипсы картофельные,Снеки,20,115.45,будни,13
Лимонад,Напитки,35,198.28,будни,17
Свинина отбивная,Мясо,20,722.18,будни,15
Сахар песок,Бакалея,3,435.04,будни,13
Морковь столовая,Овощи,61,178.93,будни,25
Мармелад фруктовый,Кондитерские изделия,12,83.91,будни,11
Курица охлажденная,Мясо,40,644.07,будни,1
Лавровый лист,Специи,32,423.62,будни,8
Конфеты шоколадные,Кондитерские изделия,20,416.06,будни,5
Яйца куриные (10 шт),Яйца,21,325.6,выходной,32
Гречка ядрица,Крупы,23,443.58,будни,4
Джем клубничный,Сладости,0,232.77,будни,19
Яйца куриные (10 шт),Яйца,22,363.84,будни,18
Макароны спагетти,Макаронные изделия,34,25.81,праздник,6
Апельсины,Фрукты,67,119.29,праздник,39
Огурцы грунтовые,Овощи,92,149.21,будни,20
Мёд цветочный,Сладости,4,283.82,выходной,16
Яйца куриные (10 шт),Яйца,9,30.05,будни,19
Перец черный молотый,Специи,16,161.81,выходной,6
Мука пшеничная,Бакалея,8,203.33,будни,19
Майонез оливковый,Соусы,35,315.21,выходной,34
Зефир ванильный,Кондитерские изделия,24,274.55,будни,9
Говядина вырезка,Мясо,20,362.62,будни,17
Сыр Российский,Молочные продукты,22,299.56,выходной,2
Лимонад,Напитки,31,335.11,будни,4
Огурцы грунтовые,Овощи,26,189.21,будни,27
Мука пшеничная,Бакалея,39,227.4,будни,15
Мука пшеничная,Бакалея,49,472.68,будни,12
Апельсины,Фрукты,53,79.62,выходной,34
Апельсины,Фрукты,41,97.54,выходной,24
Колбаса докторская,Мясные изделия,40,281.13,выходной,32
Апельсины,Фрукты,17,162.23,будни,13
Гречка ядрица,Крупы,43,45.85,будни,11
Рис Басмати,Крупы,42,149.28,будни,15
Лосось стейк,Рыба и морепродукты,17,353.97,выходной,32
Соль йодированная,Бакалея,49,122.49,будни,6
Макароны спагетти,Макаронные изделия,43,371.74,будни,11
Кофе молотый,Напитки,2,162.82,будни,15
Лавровый лист,Специи,29,439.19,выходной,10
Энергетик,Напитки,46,97.21,будни,3
Яйца куриные (10 шт),Яйца,0,376.02,выходной,4
Творог 5%,Молочные продукты,73,404.03,будни,1
Говядина вырезка,Мясо,20,666.54,выходной,30
Соль йодированная,Бакалея,1,190.58,выходной,4
Вино красное,Алкоголь,21,1302.46,выходной,8
Колбаса докторская,Мясные изделия,16,25.3,выходной,12
Бананы,Фрукты,84,163.44,выходной,24
"Кефир 3,2%",Молочные продукты,65,260.98,будни,16
Хлеб бородинский,Хлебобулочные изделия,3,366.59,выходной,28
Пиво светлое,Алкоголь,25,708.98,будни,4
Конфеты шоколадные,Кондитерские изделия,38,21.54,выходной,16
Творог 5%,Молочные продукты,69,401.21,будни,12
Масло сливочное,Молочные продукты,13,264.85,выходной,28
Энергетик,Напитки,15,128.21,выходной,26
Макароны спагетти,Макаронные изделия,33,307.7,выходной,10
Яблоки Гренни,Фрукты,58,145.47,будни,12
Макароны спагетти,Макаронные изделия,44,378.04,праздник,30
Сок апельсиновый,Напитки,35,268.29,будни,19
Вино красное,Алкоголь,29,626.65,будни,9
Морковь столовая,Овощи,72,83.09,будни,15
Хлеб бородинский,Хлебобулочные изделия,10,372.14,будни,5
Кофе молотый,Напитки,16,326.03,будни,13
Хлеб бородинский,Хлебобулочные изделия,26,349.24,праздник,30
Свинина отбивная,Мясо,38,585.94,будни,18
Говядина вырезка,Мясо,49,382.65,выходной,30
Вода минеральная,Напитки,44,354.88,выходной,24
Яблоки Гренни,Фрукты,51,177.91,будни,4
Сметана 15%,Молочные продукты,73,109.33,выходной,10
Говядина вырезка,Мясо,4,653.01,выходной,16
Печенье овсяное,Кондитерские изделия,38,258.3,будни,5
Вино красное,Алкоголь,5,274.46,будни,1
Джем клубничный,Сладости,30,462.86,будни,18
Апельсины,Фрукты,39,92.41,будни,19
Рис Басмати,Крупы,27,152.35,будни,19
Помидоры черри,Овощи,19,90.79,выходной,28
Мармелад фруктовый,Кондитерские изделия,24,392.82,будни,9
Чипсы картофельные,Снеки,35,36.13,будни,1
Мёд цветочный,Сладости,20,275.56,будни,3
Масло сливочное,Молочные продукты,79,451.92,будни,13
Свинина отбивная,Мясо,19,363.99,выходной,12
Апельсины,Фрукты,51,174.18,выходной,12
Помидоры черри,Овощи,66,124.17,праздник,66
Сметана 15%,Молочные продукты,12,368.07,будни,5
Майонез оливковый,Соусы,18,168.18,выходной,34
Колбаса докторская,Мясные изделия,40,30.58,выходной,6
